title,author,image,download_link,pages,publisher,year,language,file,Price,Used_Price,Condition
An Introduction to Thermal Physics,Daniel V. Schroeder,https://covers.zlibcdn2.com/covers100/books/ae/f3/c8/aef3c843e4e459e342094d2568011e5b.jpg,https://1lib.in/dl/2738451/d8c99b,435.0,Addison - Wesley,2000.0,english,"PDF, 46.82 MB",716.49,549.57,Like New
"Introduction to Statistical Physics, Second Edition",Kerson Huang,https://covers.zlibcdn2.com/covers100/books/cb/be/fe/cbbefe29f26c134d4ce5fa791eef59f8.jpg,https://1lib.in/dl/1074025/b9b313,335.0,Chapman and Hall/CRC,2009.0,english,"PDF, 11.48 MB",844.74,510.02,Very Good
Fundamentals of Thermal-Fluid Sciences,Yunus A. Çengel,https://covers.zlibcdn2.com/covers100/books/eb/d7/ab/ebd7ab5b7242c12af72d2827edb8bf9a.jpg,https://1lib.in/dl/3503707/adbba7,1088.0,McGraw-Hill Education,2016.0,english,"PDF, 55.62 MB",655.8,358.29,Good
Thermodynamics For Dummies,Mike Pauken,https://covers.zlibcdn2.com/covers100/books/6f/38/2d/6f382d0a9252fae6507797dc65de2234.jpg,https://1lib.in/dl/3338225/5c71bb,384.0,"Wiley Publishing, Inc",2011.0,english,"PDF, 19.58 MB",716.86,363.9,Good
Fundamentals of Engineering Thermodynamics,Michael J. Moran,https://covers.zlibcdn2.com/covers100/books/cb/4c/a4/cb4ca4ee5c0560de71bdaf9f81b3c163.jpg,https://1lib.in/dl/5210921/292015,875.0,Wiley,2018.0,english,"PDF, 18.03 MB",746.54,517.91,Very Good
The thermodynamics problem solver,The Staff of REA,https://covers.zlibcdn2.com/covers100/books/3d/2c/c5/3d2cc505c7724f6f12cb0b02b7cb60ac.jpg,https://1lib.in/dl/450904/ebb88c,1092.0,Research & Education Association,1984.0,english,"DJVU, 8.61 MB",782.43,540.71,Very Good
The Laws of Thermodynamics: A Very Short Introduction,Peter Atkins,https://covers.zlibcdn2.com/covers100/books/f0/40/88/f04088016fe682c9b1b983605628b1af.jpg,https://1lib.in/dl/2028397/276904,130.0,Oxford University Press,2010.0,english,"PDF, 1.98 MB",914.07,550.44,Very Good
Theoretical Physics 5: Thermodynamics,Wolfgang Nolting (auth.),https://covers.zlibcdn2.com/covers100/books/4b/91/41/4b9141363cdfb39f4d05e0f81ab5f9be.jpg,https://1lib.in/dl/2868491/e8655d,292.0,Springer International Publishing,2017.0,english,"PDF, 3.97 MB",679.87,354.56,Good
"Tropical Fruits, Volume 1 (Crop Production Science in Horticulture, Volume 20)",Robert E Paull,https://covers.zlibcdn2.com/covers100/books/ab/9c/00/ab9c0082c84fe2a30f7256694ff44d75.jpg,https://1lib.in/dl/933686/0cb195,408.0,CABI,2010.0,english,"PDF, 3.84 MB",805.69,501.86,Very Good
"Grapes (Crop Production Science in Horticulture, Volume 16)",G.L. Creasy,https://covers.zlibcdn2.com/covers100/books/7b/d9/16/7bd916dd481f181258d49cb6d9570ed6.jpg,https://1lib.in/dl/1049769/136356,332.0,CABI,2009.0,english,"PDF, 13.61 MB",836.97,496.63,Good
Soil Microbiology and Sustainable Crop Production,Andrew D. Noble,https://covers.zlibcdn2.com/covers100/books/9f/3a/4b/9f3a4b43d7fd18f50a43133658c67ab1.jpg,https://1lib.in/dl/943792/10db7f,436.0,Springer Netherlands,2010.0,english,"PDF, 6.41 MB",618.58,434.95,Like New
Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops,Md. Asaduzzaman,https://covers.zlibcdn2.com/covers100/books/58/38/e9/5838e9e2397f7cb97c0fdf63e853a223.jpg,https://1lib.in/dl/2739786/827318,172.0,InTech,2015.0,english,"PDF, 11.00 MB",843.02,574.72,Very Good
"Carrots and Related Vegetable Umbelliferae (Crop Production Science in Horticulture, Volume 10)",C F Quiros,https://covers.zlibcdn2.com/covers100/books/34/99/f9/3499f98c2b6fcae279ed12900a722dbf.jpg,https://1lib.in/dl/1049758/283552,304.0,CABI,1999.0,english,"PDF, 12.95 MB",668.21,407.19,Very Good
The role of plant roots in crop production,N  K Fageria,https://covers.zlibcdn2.com/covers100/books/e2/9b/78/e29b7831f2fb84f97cd902fe16daa76c.jpg,https://1lib.in/dl/2091193/a15c4d,458.0,CRC Press,2013.0,english,"PDF, 27.85 MB",626.02,353.93,Good
Soil Organic Matter and Its Role in Crop Production,F.E. Allison (Eds.),https://covers.zlibcdn2.com/covers100/books/e4/79/af/e479afb00b94f481ea35a6c372ef500d.jpg,https://1lib.in/dl/550705/456839,,Elsevier Science,1973.0,english,"PDF, 9.42 MB",979.55,780.12,Like New
Soilless Culture - Use of Substrates for the Production of Quality Horticultural Crops,Asaduzzaman Md. (Ed.),https://covers.zlibcdn2.com/covers100/books/24/5a/83/245a83ef4a1cadf1f86016ec5d5a68f4.jpg,https://1lib.in/dl/3277538/774053,,,,english,"PDF, 6.16 MB",986.25,627.45,Very Good
"Rice: Origin, History, Technology, and Production (Wiley Series in Crop Science)",C. Wayne Smith,https://covers.zlibcdn2.com/covers100/books/0e/df/57/0edf57a414f2bdda0d2b7ce52c8f4ab4.jpg,https://1lib.in/dl/1001749/caf1df,664.0,,2002.0,english,"PDF, 6.59 MB",923.36,652.34,Like New
"Corn Crop Production: Growth, Fertilization and Yield",Arn T. Danforth,https://covers.zlibcdn2.com/covers100/books/61/c4/19/61c419d9d3f54c2cd6e358e6f75aff8a.jpg,https://1lib.in/dl/2723606/a83ea4,377.0,"Nova Science Publishers, Inc.",2011.0,english,"PDF, 4.82 MB",721.85,391.36,Good
"Agroecosystems: Soils, Climate, Crops, Nutrient Dynamics and Productivity",Krishna,https://covers.zlibcdn2.com/covers100/books/21/5c/af/215caf2a8ac24ce721248816e2cfd3d1.jpg,https://1lib.in/dl/2323592/801b2f,552.0,CRC Press,2013.0,english,"PDF, 49.95 MB",639.07,412.63,Very Good
Crop ecology : productivity and management in agricultural systems,D J Connor,https://covers.zlibcdn2.com/covers100/books/b6/74/34/b67434ca8f107ef582b9657fd3634132.jpg,https://1lib.in/dl/2065059/391dcf,569.0,Cambridge University Press,2011.0,english,"PDF, 14.05 MB",873.69,444.06,Good
