title,author,image,download_link,pages,publisher,year,language,file,Price,Used_Price,Condition
The Algorithm Design Manual,Steven S. Skiena,https://covers.zlibcdn2.com/covers100/books/00/cb/81/00cb810a4b852c9631b47fb6de8efad0.jpg,https://1lib.in/dl/541024/2ec6b6,730.0,Springer,2008.0,english,"PDF, 3.89 MB",682.53,389.38,Good
"Data Analysis From Scratch With Python: Beginner Guide using Python, Pandas, NumPy, Scikit-Learn, IPython, TensorFlow and Matplotlib",Peters Morgan,https://covers.zlibcdn2.com/covers100/books/a5/10/8a/a5108afa8391afc1d92bf3dcac1d8a35.jpg,https://1lib.in/dl/4984913/6db729,153.0,AI Sciences LLC,2018.0,english,"PDF, 2.79 MB",745.71,530.54,Like New
Data Structures and Algorithms Made Easy: Data Structures and Algorithmic Puzzles,Narasimha Karumanchi,https://covers.zlibcdn2.com/covers100/books/d9/a0/9e/d9a09e7e092770b490569037e38267ec.jpg,https://1lib.in/dl/2855973/069c02,868.0,CareerMonk Plublications,2017.0,english,"PDF, 32.74 MB",801.37,597.13,Like New
Algorithms for Dummies,John Paul Mueller,https://covers.zlibcdn2.com/covers100/books/24/6f/ed/246fedf53cfedd51e7f97e2e9e323396.jpg,https://1lib.in/dl/3677020/024856,432.0,Wiley,2017.0,english,"PDF, 7.19 MB",876.16,581.71,Very Good
Learning Algorithms Through Programming and Puzzle Solving,Alexander S. Kulikov,https://covers.zlibcdn2.com/covers100/books/e1/6a/a1/e16aa1a11cd1a9bc74d95b85d2722550.jpg,https://1lib.in/dl/3640029/ab6ca3,138.0,Active Learning Technologies,2018.0,english,"PDF, 5.14 MB",615.72,486.49,Like New
Data Structures and Algorithms in Python,Michael T. Goodrich,https://covers.zlibcdn2.com/covers100/books/b0/87/7b/b0877b070d8f786edfe2374ef0cef81f.jpg,https://1lib.in/dl/2089156/ca3820,748.0,Wiley,2013.0,english,"PDF, 5.62 MB",919.76,474.14,Good
Algorithms Illuminated (Part 2): Graph Algorithms and Data Structures,Tim Roughgarden,https://covers.zlibcdn2.com/covers100/books/18/90/0d/18900db8d8fdc1e72678a633a224f527.jpg,https://1lib.in/dl/3581349/0dd91a,222.0,"Soundlikeyourself Publishing, LLC",2018.0,english,"PDF, 7.93 MB",851.16,554.48,Very Good
The Art of Data Science: A Guide for Anyone Who Works with Data,Roger D. Peng,https://covers.zlibcdn2.com/covers100/books/49/98/3d/49983d629961fe9ad5e9637772a22c6a.jpg,https://1lib.in/dl/3015365/ae57d5,162.0,,2015.0,english,"PDF, 6.22 MB",632.7,452.72,Like New
Information Dashboard Design: The Effective Visual Communication of Data,Stephen Few,https://covers.zlibcdn2.com/covers100/books/0d/cb/4d/0dcb4dc6fbaf7eb862efccc0404759eb.jpg,https://1lib.in/dl/1113698/4bd266,223.0,O'Reilly Media,2006.0,english,"PDF, 8.25 MB",949.43,720.42,Like New
Dynamic Programming for Coding Interviews: A Bottom-Up Approach to Problem Solving,Meenakshi,https://covers.zlibcdn2.com/covers100/books/cc/aa/5c/ccaa5c6429a0954d69371d5b2b411060.jpg,https://1lib.in/dl/3558557/6e69ed,136.0,Notion Press,2017.0,english,"PDF, 41.97 MB",968.35,536.25,Good
Algorithms Unlocked,Thomas H. Cormen,https://covers.zlibcdn2.com/covers100/books/de/d6/55/ded655a8c87eda65c81f064aade1f901.jpg,https://1lib.in/dl/2072126/870486,236.0,The MIT Press,2013.0,english,"PDF, 2.50 MB",624.43,462.08,Like New
Data Structure and Algorithmic Thinking with Python  Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,https://covers.zlibcdn2.com/covers100/books/34/3d/25/343d25de4689aab5650c351be397d218.jpg,https://1lib.in/dl/2843422/1b9308,471.0,CareerMonk Publications,2016.0,english,"PDF, 69.96 MB",710.75,473.23,Very Good
Deep Learning for Computer Vision with Python,Adrian Rosebrock,https://covers.zlibcdn2.com/covers100/books/86/aa/c6/86aac632847570c96f167cce54cf6490.jpg,https://1lib.in/dl/3559375/052e22,332.0,PyImageSearch,2017.0,english,"PDF, 26.44 MB",922.48,570.98,Very Good
"Algorithms, 4th Edition: Essential Information about Algorithms and Data Structures",Robert Sedgewick,https://covers.zlibcdn2.com/covers100/books/18/13/a5/1813a56fa6860668d1804ce4e1cc6191.jpg,https://1lib.in/dl/2738376/b0860a,976.0,Addison-Wesley,2011.0,english,"PDF, 28.86 MB",899.3,485.19,Good
Data Science For Dummies,Lillian Pierson,https://covers.zlibcdn2.com/covers100/books/59/9a/ba/599aba18b254d7999a9f438e8acb7a6e.jpg,https://1lib.in/dl/3274496/7d3b2d,483.0,John Wiley & Sons,2015.0,english,"PDF, 9.25 MB",673.81,511.82,Like New
Analytics in a Big Data World: The Essential Guide to Data Science and its Applications,Bart Baesens,https://covers.zlibcdn2.com/covers100/books/bb/8d/8e/bb8d8ef6c55d39aa10c735ebcb71770f.jpg,https://1lib.in/dl/2614213/0a2474,256.0,Wiley,2014.0,english,"PDF, 4.03 MB",683.74,374.13,Good
Serious Cryptography: A Practical Introduction to Modern Encryption,Jean-Philippe Aumasson,https://covers.zlibcdn2.com/covers100/books/0d/73/cf/0d73cf9818d7da4f6260217301b663da.jpg,https://1lib.in/dl/3399523/21be14,312.0,No Starch Press,2017.0,english,"PDF, 5.19 MB",748.19,443.63,Good
Data Structures and Algorithms in C++,Adam Drozdek,https://covers.zlibcdn2.com/covers100/books/e6/ce/94/e6ce94a53248171201b7bfe9765121cb.jpg,https://1lib.in/dl/2315271/1715f6,816.0,Cengage Learning,2012.0,english,"PDF, 21.35 MB",793.81,465.98,Good
"Coding Theory - Algorithms, Architectures, and Applications",Andre Neubauer,https://covers.zlibcdn2.com/covers100/books/a6/70/b2/a670b2f075822838d1debe6e0951bc71.jpg,https://1lib.in/dl/437612/a7d4c8,355.0,Wiley-Interscience,2007.0,english,"PDF, 1.59 MB",847.3,645.15,Like New
"Python Deep Learning: Exploring deep learning techniques, neural network architectures and GANs with PyTorch, Keras and TensorFlow",Ivan Vasilev,https://covers.zlibcdn2.com/covers100/books/30/10/f2/3010f213b88a44c098381c91c6253532.jpg,https://1lib.in/dl/3675383/bf74b6,468.0,Packt Publishing,2019.0,english,"PDF, 23.96 MB",747.57,524.65,Like New
Clean Architecture: A Craftsman’s Guide to Software Structure and Design,Robert C. Martin,https://covers.zlibcdn2.com/covers100/books/b1/c9/42/b1c94251908069df0a3dbe2462f52cdd.jpg,https://1lib.in/dl/3710169/0fcb3f,432.0,Prentice Hall,2017.0,english,"PDF, 6.37 MB",785.01,580.13,Like New
"Internet of Things: Architectures, Protocols and Standards",Simone Cirani,https://covers.zlibcdn2.com/covers100/books/17/0d/fb/170dfb87dba9a9da17c235587762b132.jpg,https://1lib.in/dl/3602775/0f1857,,Wiley,2018.0,english,"PDF, 8.58 MB",898.99,517.05,Good
"Computer Architecture, Sixth Edition: A Quantitative Approach",John L. Hennessy,https://covers.zlibcdn2.com/covers100/books/58/73/4d/58734dae75228cd8ccf1be995da2893a.jpg,https://1lib.in/dl/3423170/d305c2,936.0,Morgan Kaufmann,2019.0,english,"PDF, 34.95 MB",614.67,422.56,Very Good
Computer Systems: A Programmer's Perspective,Randal E. Bryant,https://covers.zlibcdn2.com/covers100/books/33/dc/73/33dc73067d7512a7d970cec5fe8870db.jpg,https://1lib.in/dl/2611328/6c9b2d,1120.0,Pearson,2015.0,english,"PDF, 35.97 MB",700.97,470.72,Very Good
Practical C++ Design: From Programming to Architecture,Adam B. Singer,https://covers.zlibcdn2.com/covers100/books/2c/18/4c/2c184c9da905603430df85aff151f4b1.jpg,https://1lib.in/dl/3367330/24f95e,246.0,Apress,2017.0,english,"PDF, 2.37 MB",885.34,663.87,Like New
Semantic Software Design: A New Theory and Practical Guide for Modern Architects,Eben Hewitt,https://covers.zlibcdn2.com/covers100/books/5e/c4/b5/5ec4b517e06a0304bbacf1bb2e1577a2.jpg,https://1lib.in/dl/5256860/8b9291,250.0,"O’Reilly Media, Inc.",2020.0,english,"EPUB, 2.09 MB",958.08,739.47,Like New
Practical Microservices Architectural Patterns - Event-Based Java Microservices with Spring Boot and Spring Cloud,Binildas Christudas,https://covers.zlibcdn2.com/covers100/books/21/78/9b/21789bd994c002154c85362db64caa14.jpg,https://1lib.in/dl/5208316/0ef05b,916.0,Apress,2019.0,english,"PDF, 33.34 MB",804.67,405.27,Good
Computer Organization and Architecture Designing for Performance 10th Edition,William Stallings,https://covers.zlibcdn2.com/covers100/books/23/f3/13/23f31322bee8afe15949d3ba83be62c9.jpg,https://1lib.in/dl/3710986/a8e3ec,864.0,Pearson,2016.0,english,"PDF, 17.09 MB",812.85,570.79,Like New
"SQL & NoSQL Databases: Models, Languages, Consistency Options and Architectures for Big Data Management",Andreas Meier,https://covers.zlibcdn2.com/covers100/books/b9/64/92/b96492da730dcbc6b1df98a906cf8552.jpg,https://1lib.in/dl/5214039/a6ec39,229.0,Springer Vieweg,2019.0,english,"PDF, 4.01 MB",642.87,331.43,Good
Software Architecture Patterns,Mark Richards,https://covers.zlibcdn2.com/covers100/books/d4/f2/4f/d4f24faeff960b9652e9fd6c880bd300.jpg,https://1lib.in/dl/2951924/618423,,O'Reilly,2015.0,english,"PDF, 5.28 MB",778.96,517.74,Very Good
"Fundamentals of Neural Networks: Architectures, Algorithms, and Applications",Fausett L.,https://covers.zlibcdn2.com/covers100/books/ae/6c/e6/ae6ce64b978dcc3e4c0623c70d6d5973.jpg,https://1lib.in/dl/460672/e6de5a,476.0,,1994.0,english,"PDF, 27.87 MB",813.05,476.68,Good
Software architecture in practice,Len Bass,https://covers.zlibcdn2.com/covers100/books/80/a2/b3/80a2b31e3b36d1ce9124cf69d0b7c9ab.jpg,https://1lib.in/dl/5156825/b98bad,640.0,Addison-Wesley Professional,2012.0,english,"PDF, 19.37 MB",696.99,412.64,Good
The Elements of Computing Systems: Building a Modern Computer from First Principles,Noam Nisan,https://covers.zlibcdn2.com/covers100/books/a5/db/b5/a5dbb5e7ffbde42b362c27289594f473.jpg,https://1lib.in/dl/2074099/d94f03,341.0,The MIT Press,2005.0,english,"PDF, 3.06 MB",707.7,428.79,Very Good
Serverless Architectures on AWS: With examples using AWS Lambda,Peter Sbarski,https://covers.zlibcdn2.com/covers100/books/a1/88/db/a188dbdbb7fdd81e6bc8ad30fd1757a9.jpg,https://1lib.in/dl/2948679/21fea4,376.0,Manning Publications,2017.0,english,"PDF, 28.21 MB",750.91,515.42,Very Good
"Digital Design and Computer Architecture, Second Edition",David M. Harris,https://covers.zlibcdn2.com/covers100/books/a0/75/9f/a0759fe57a183c40967f5c563082581d.jpg,https://1lib.in/dl/2083220/62c062,712.0,Morgan Kaufmann,2012.0,english,"PDF, 24.74 MB",608.03,364.95,Very Good
Game Engine Architecture,Jason Gregory,https://covers.zlibcdn2.com/covers100/books/39/ce/2c/39ce2c135360318e7dddb0caf8436012.jpg,https://1lib.in/dl/3561877/36f63a,1240.0,A K Peters/CRC Press,2018.0,english,"PDF, 23.10 MB",728.83,524.62,Like New
Building Intelligent Cloud Applications: Develop Scalable Models Using Serverless Architectures with Azure,John Biggs,https://covers.zlibcdn2.com/covers100/books/ee/fb/7a/eefb7af8d1749492afc435eec3dba518.jpg,https://1lib.in/dl/5239560/5e70c4,154.0,O’Reilly Media,2019.0,english,"PDF, 9.09 MB",684.58,425.37,Very Good
API Architecture - The Big Picture for Building APIs,Matthias Biehl,https://covers.zlibcdn2.com/covers100/books/bb/70/47/bb7047b8073f3697ea1bab047fa211f3.jpg,https://1lib.in/dl/2600620/588a00,107.0,CreateSpace,2015.0,english,"PDF, 2.63 MB",731.0,380.49,Good
"Database Systems: Design, Implementation, and Management",Carlos Coronel,https://covers.zlibcdn2.com/covers100/books/f8/56/38/f8563828fb40c55feffa8e7ffd455581.jpg,https://1lib.in/dl/5010907/a50303,802.0,Cengage,2019.0,english,"PDF, 45.00 MB",647.9,476.29,Like New
"Database Modeling and Design, Fifth Edition: Logical Design (The Morgan Kaufmann Series in Data Management Systems)",Toby J. Teorey,https://covers.zlibcdn2.com/covers100/books/6a/8d/e2/6a8de239506e9fabb7930fbc2be81570.jpg,https://1lib.in/dl/1051105/47c955,335.0,Morgan Kaufmann,2011.0,english,"PDF, 14.31 MB",956.21,560.08,Good
"Database Systems: A Practical Approach to Design, Implementation, and Management: Global Edition",Thomas Connolly,https://covers.zlibcdn2.com/covers100/books/77/35/4b/77354b9c5c0783ae74ac8399f23beef0.jpg,https://1lib.in/dl/2552768/ca06a7,1440.0,Pearson Education Limited,2014.0,english,"PDF, 40.14 MB",837.44,527.44,Very Good
Database Management Systems,Raghu Ramakrishnan,https://covers.zlibcdn2.com/covers100/books/d3/71/6e/d3716e5b3a75a39ac0726ade092b80de.jpg,https://1lib.in/dl/901367/445db5,1098.0,,2003.0,english,"PDF, 15.87 MB",871.64,615.06,Like New
"Introduction to Database Management System, 2nd Edition",Satinder Bal Gupta,https://covers.zlibcdn2.com/covers100/books/50/4b/53/504b53a427ef395b1cd69ae19ff6d5a6.jpg,https://1lib.in/dl/3694978/a26fff,552.0,University Science Press,2017.0,english,"PDF, 11.27 MB",915.67,549.16,Good
"Database Systems  Design, Implementation, & Management",Carlos Coronel,https://covers.zlibcdn2.com/covers100/books/7c/76/e4/7c76e4a59c24f9aaada94d131b074e55.jpg,https://1lib.in/dl/2952398/7ef169,,Course Technology,2015.0,english,"PDF, 53.62 MB",799.38,413.26,Good
"Pro Python System Administration - Learn to manage and monitor your network, web servers, and databases with Python",Sileika R.,https://covers.zlibcdn2.com/covers100/books/16/c6/2f/16c62f9d0ba8b374168ec3e20cae4360.jpg,https://1lib.in/dl/2998376/075b4d,,,,english,"PDF, 7.08 MB",634.77,388.59,Very Good
Fundamentals of Database Management Systems,Mark L. Gillenson,https://covers.zlibcdn2.com/covers100/books/e3/b6/2c/e3b62cbf7c0afdaeab91af48f47c9e53.jpg,https://1lib.in/dl/2566492/3941b3,416.0,Wiley,2011.0,english,"PDF, 8.87 MB",814.84,638.29,Like New
"Database Systems: Design, Implementation, & Management",Carlos Coronel,https://covers.zlibcdn2.com/covers100/books/43/e1/f6/43e1f6cbaa7de119e503e1c3d1a7df38.jpg,https://1lib.in/dl/2853298/cc4436,791.0,Cengage Learning,2016.0,english,"PDF, 55.68 MB",834.74,578.07,Very Good
"Database Systems: A Practical Approach to Design, Implementation, and Management",Thomas Connolly,https://covers.zlibcdn2.com/covers100/books/62/3c/d0/623cd096ac93dc578f6f45b9ab63e725.jpg,https://1lib.in/dl/5010504/4c6fbb,1440.0,Pearson,2014.0,english,"PDF, 52.11 MB",898.18,630.02,Like New
"Joe Celko's Thinking in Sets: Auxiliary, Temporal, and Virtual Tables in SQL (The Morgan Kaufmann Series in Data Management Systems)",Joe Celko,https://covers.zlibcdn2.com/covers100/books/93/31/eb/9331eb7ea3b863653e77de2a638129b2.jpg,https://1lib.in/dl/655075/932a92,383.0,Morgan Kaufmann,2008.0,english,"PDF, 7.72 MB",772.66,532.89,Very Good
Distributed Database Management Systems: A Practical Approach,Saeed K. Rahimi,https://covers.zlibcdn2.com/covers100/books/29/e0/4e/29e04e12a658c46c10e410950a65e61f.jpg,https://1lib.in/dl/982395/546eb7,728.0,,2010.0,english,"PDF, 10.16 MB",651.03,364.38,Good
Database Management Systems,Raghu Ramakrishnan,https://covers.zlibcdn2.com/covers100/books/00/e2/2b/00e22b5cb10bc9859a3d389ea77bdd08.jpg,https://1lib.in/dl/464494/792794,931.0,McGraw-Hill Companies,2000.0,english,"PDF, 6.43 MB",713.51,446.3,Very Good
Database Management Systems,Raghu Ramakrishnan,https://covers.zlibcdn2.com/covers100/books/e6/0b/59/e60b59a176028e4c66e2c42265a06427.jpg,https://1lib.in/dl/669258/d602d5,1098.0,McGraw-Hill Science/Engineering/Math,2003.0,english,"PDF, 66.62 MB",745.23,540.5,Like New
Spatial Databases: With Application to GIS (The Morgan Kaufmann Series in Data Management Systems),Philippe Rigaux,https://covers.zlibcdn2.com/covers100/books/9f/cc/18/9fcc186b22572563ab5cbcc7f17a7660.jpg,https://1lib.in/dl/735287/7dc92c,439.0,Morgan Kaufmann,2001.0,english,"PDF, 6.35 MB",858.37,455.29,Good
"Spatial Database Systems: Design, Implementation and Project Management",Albert K.W. Yeung,https://covers.zlibcdn2.com/covers100/books/2a/f6/20/2af620186bc198ee6349e2bbb0f9bbae.jpg,https://1lib.in/dl/492234/4ce1a3,555.0,Springer,2007.0,english,"PDF, 6.06 MB",828.31,483.2,Good
"Database Systems: Design, Implementation, and Management",Carlos Coronel,https://covers.zlibcdn2.com/covers100/books/f8/9c/c3/f89cc3b6759c93a7b851a761654fb055.jpg,https://1lib.in/dl/2036714/251f82,752.0,Course Technology,2012.0,english,"EPUB, 18.47 MB",742.44,432.77,Good
Joe Celko's Data and Databases: Concepts in Practice (The Morgan Kaufmann Series in Data Management Systems),Joe Celko,https://covers.zlibcdn2.com/covers100/books/96/c2/18/96c218b3bc9f1779f735f5180eaee0e1.jpg,https://1lib.in/dl/739546/91075f,263.0,Morgan Kaufmann,1999.0,english,"PDF, 1.46 MB",994.61,626.21,Very Good
Concept of Database Management Systems,V.K. Pallaw,https://covers.zlibcdn2.com/covers100/books/7f/eb/57/7feb577b8290320ea9895df066fa1561.jpg,https://1lib.in/dl/2064071/260243,319.0, Asian Books ,2010.0,english,"PDF, 10.43 MB",842.31,668.89,Like New
Information Modeling and Relational Databases: From Conceptual Analysis to Logical Design (The Morgan Kaufmann Series in Data Management Systems),Terry Halpin,https://covers.zlibcdn2.com/covers100/books/a8/35/2d/a8352d83e94ba58a2c2348635bdf6d12.jpg,https://1lib.in/dl/739670/a4ab1c,792.0,Morgan Kaufmann,2001.0,english,"PDF, 5.10 MB",694.89,361.52,Good
Introduction to the Design and Analysis of Algorithms  ,Anany Levitin,https://covers.zlibcdn2.com/covers100/books/b4/c2/8f/b4c28fb96b016e94a2d68fd37e070248.jpg,https://1lib.in/dl/1205454/9ceb90,592.0,Addison Wesley (Pearson Education Inc.),2011.0,english,"PDF, 2.36 MB",640.71,420.06,Very Good
Design and Analysis of Data Structures,Niema Moshiri,https://covers.zlibcdn2.com/covers100/books/0e/08/90/0e08905e032355157dea3ee6baa268c9.jpg,https://1lib.in/dl/3512251/23ddb9,334.0,Independently published,2018.0,english,"PDF, 13.66 MB",661.14,366.15,Good
Design and Analysis of Algorithms. A contemporary Perspective,Sandeep Sen,https://covers.zlibcdn2.com/covers100/books/6a/64/26/6a6426ce7cd0108a9acc86397dc7d9c8.jpg,https://1lib.in/dl/4998305/fe6ade,395.0,Cambridge University Press,2019.0,english,"PDF, 3.48 MB",698.38,552.56,Like New
The Design and Analysis of Computer Algorithms,Alfred V. Aho,https://covers.zlibcdn2.com/covers100/books/3e/09/a1/3e09a18f703e1ee4e83c43e1473ae6f2.jpg,https://1lib.in/dl/2072416/deac8c,480.0,Addison-Wesley,1974.0,english,"DJVU, 12.19 MB",664.27,354.71,Good
The Design and Analysis of Computer Algorithms,Alfred V. Aho,https://covers.zlibcdn2.com/covers100/books/06/14/54/06145446c52eba11e03a1196731ceff2.jpg,https://1lib.in/dl/5258569/5b76bb,480.0,Addison-Wesley Publishing Company,1974.0,english,"PDF, 26.39 MB",674.63,419.0,Very Good
"Introduction to the Design and Analysis of Algorithms, 3rd Edition  ",Anany Levitin,https://covers.zlibcdn2.com/covers100/books/21/7d/36/217d36bec574595ff9145d3cc200951f.jpg,https://1lib.in/dl/1168917/7bc21f,593.0,Addison Wesley,2011.0,english,"PDF, 2.42 MB",714.04,515.08,Like New
"Introduction to The Design and Analysis of Algorithms, 2nd Edition Solution Manual",Anany Levitin,https://covers.zlibcdn2.com/covers100/books/72/93/54/729354f8ec8e96c7d87e578726f4fb8e.jpg,https://1lib.in/dl/3351911/19a9a9,389.0,,2006.0,english,"PDF, 2.47 MB",669.35,476.15,Like New
"Numerical Methods: Design, Analysis, and Computer Implementation of Algorithms",Anne Greenbaum,https://covers.zlibcdn2.com/covers100/books/24/0d/96/240d96e0bbff95f29823942df87d3852.jpg,https://1lib.in/dl/2344982/d36e61,472.0,Princeton University Press,2012.0,english,"EPUB, 9.47 MB",958.71,600.94,Very Good
Analog Electronics Applications: Fundamentals of Design and Analysis,Hernando Lautaro Fernandez-Canque,https://covers.zlibcdn2.com/covers100/books/23/80/67/238067d3293554ca349b4e855796d723.jpg,https://1lib.in/dl/2772591/2172fa,432.0,CRC Press,2016.0,english,"PDF, 11.33 MB",632.09,381.76,Very Good
"Algorithmics of Large and Complex Networks: Design, Analysis, and Simulation",Deepak Ajwani,https://covers.zlibcdn2.com/covers100/books/2e/60/8e/2e608e866e65a5d45ac6f0332423868c.jpg,https://1lib.in/dl/612952/be8308,401.0,Springer-Verlag Berlin Heidelberg,2009.0,english,"PDF, 6.61 MB",809.8,501.5,Very Good
The Design and Analysis of Parallel Algorithms,Selim G. Akl,https://covers.zlibcdn2.com/covers100/books/cc/d2/c4/ccd2c43ccdaf22f201c73fd23ab15d8d.jpg,https://1lib.in/dl/764376/5c5bdb,415.0,Prentice Hall,1989.0,english,"PDF, 16.06 MB",764.16,442.66,Good
Introduction to the Design and Analysis of Algorithms,Anany Levitin,https://covers.zlibcdn2.com/covers100/books/bc/bf/76/bcbf76a90857506f5f4e32ba9f7783b1.jpg,https://1lib.in/dl/2873523/c07a58,590.0,Pearson,2012.0,english,"PDF, 13.34 MB",992.95,557.64,Good
Introduction to the Design and Analysis of Algorithms (2nd Edition),Anany Levitin,https://covers.zlibcdn2.com/covers100/books/e8/00/48/e80048aa8082cbe0883da787c7c8f19e.jpg,https://1lib.in/dl/1104957/58bd9c,311.0,Pearson Education Services Private Limited,2008.0,english,"PDF, 13.11 MB",644.82,415.85,Very Good
Design and Analysis of Distributed Algorithms (Wiley Series on Parallel and Distributed Computing),Nicola Santoro,https://covers.zlibcdn2.com/covers100/books/66/2e/9f/662e9fb1dfa795f77e5b6069f00d32b7.jpg,https://1lib.in/dl/738608/58a008,611.0,Wiley-Interscience,2006.0,english,"PDF, 7.21 MB",759.14,440.73,Good
Analysis And Design Of Algorithms,Amrinder Arora,https://covers.zlibcdn2.com/covers100/books/3d/1b/cb/3d1bcb08b2703d6ff0e6ec00bd14e4a9.jpg,https://1lib.in/dl/5311460/e253d1,146.0,Cognella Academic Publishing,2015.0,english,"PDF, 28.80 MB",987.79,579.08,Good
Design and Analysis of Distributed Algorithms,Nicola Santoro,https://covers.zlibcdn2.com/covers100/books/5d/74/53/5d7453e5bf9a308d12c6b4def7629082.jpg,https://1lib.in/dl/464898/41424b,611.0,Wiley-Interscience,2007.0,english,"PDF, 7.06 MB",946.2,659.53,Very Good
Design and Analysis of Algorithms: A Contemporary Perspective,Sandeep Sen,https://covers.zlibcdn2.com/covers100/books/52/c2/5f/52c25fbde276a755f98f517199157886.jpg,https://1lib.in/dl/5003000/137d99,350.0,Cambridge University Press,2019.0,english,"PDF, 3.21 MB",926.83,732.72,Like New
Design and Analysis of Randomized Algorithms: Introduction to Design Paradigms,Juraj Hromkovič,https://covers.zlibcdn2.com/covers100/books/a0/84/4b/a0844b3b2dc499d663c7d3d7da1922c3.jpg,https://1lib.in/dl/943334/6c25ea,290.0,Springer,2005.0,english,"PDF, 1.78 MB",703.16,478.92,Very Good
"Introduction to the Design and Analysis of Algorithms, 3rd edition - Solution Manual",Anany Levitin,https://covers.zlibcdn2.com/covers100/books/80/c2/bf/80c2bf3394258fe388a3afbdce73d497.jpg,https://1lib.in/dl/5532225/c3ac1e,499.0,,2011.0,english,"PDF, 4.03 MB",668.36,349.61,Good
"Analysis of Messy Data Volume 1: Designed Experiments, Second Edition",George A. Milliken,https://covers.zlibcdn2.com/covers100/books/eb/7b/6f/eb7b6fd417452f14f65045f937b1c44b.jpg,https://1lib.in/dl/881757/d60d46,674.0,,2004.0,english,"PDF, 6.17 MB",867.46,453.4,Good
The Linux Command Line: A Complete Introduction,William E. Shotts,https://covers.zlibcdn2.com/covers100/books/83/26/ec/8326eca437406d5e5c0abd19942cef38.jpg,https://1lib.in/dl/3704056/9c418e,504.0,No Starch Press,2019.0,english,"PDF, 7.11 MB",971.75,763.24,Like New
Linux Command Line and Shell Scripting Bible,Richard Blum,https://covers.zlibcdn2.com/covers100/books/f4/b4/0d/f4b40da3f699eed06c5e37a566e1b4a6.jpg,https://1lib.in/dl/2485331/1f241b,816.0,Wiley,2015.0,english,"PDF, 5.47 MB",822.71,484.73,Good
Operating System Concepts,Abraham Silberschatz,https://covers.zlibcdn2.com/covers100/books/73/12/96/7312960d0fb110104ea01347f30cc98a.jpg,https://1lib.in/dl/3509014/cb65d1,1278.0,Wiley,2018.0,english,"PDF, 29.69 MB",828.65,437.21,Good
How Linux Works: What Every Superuser Should Know,Brian Ward,https://covers.zlibcdn2.com/covers100/books/6e/56/e7/6e56e7ebbda99f686827e0f84c03a594.jpg,https://1lib.in/dl/2657555/125b35,392.0,No Starch Press,2014.0,english,"PDF, 5.18 MB",711.99,483.95,Very Good
"Linux All-In-One For Dummies, 6th Edition",Emmett Dulaney,https://covers.zlibcdn2.com/covers100/books/56/10/8d/56108d5b86977bd48b1de03d3dcf84b0.jpg,https://1lib.in/dl/3621151/be0697,560.0,John Wiley & Sons,2018.0,english,"PDF, 17.42 MB",907.8,623.74,Very Good
"Learn Kali Linux 2019: Perform Powerful Penetration Testing Using Kali Linux, Metasploit, Nessus, Nmap, And Wireshark",Glen D. Singh,https://covers.zlibcdn2.com/covers100/books/85/c7/93/85c793dfd57c910a4068908a8c9ec0c0.jpg,https://1lib.in/dl/5288773/6d7f59,536.0,Packt Publishing,2019.0,english,"PDF, 84.67 MB",674.82,468.7,Very Good
Modern Operating Systems,Andrew S. Tanenbaum,https://covers.zlibcdn2.com/covers100/books/15/6c/f9/156cf9f53cc80458097cebf1876be746.jpg,https://1lib.in/dl/5156445/80ac8a,1137.0,Pearson,2014.0,english,"PDF, 6.25 MB",729.47,423.25,Good
Linux system programming: talking directly to the kernel and C library,Robert Love,https://covers.zlibcdn2.com/covers100/books/f1/68/2b/f1682bc49e3310bbc5c9adbf4f4e1495.jpg,https://1lib.in/dl/2082692/18d1e0,456.0,O'Reilly Media,2013.0,english,"PDF, 8.65 MB",770.17,388.58,Good
UNIX and Linux System Administration Handbook,Evi Nemeth et al.,https://covers.zlibcdn2.com/covers100/books/4f/1d/d7/4f1dd7bd12e2cbafff476aed5edc82aa.jpg,https://1lib.in/dl/3492654/23cc07,1500.0,Addison-Wesley,2017.0,english,"PDF, 15.40 MB",803.04,634.0,Like New
Operating Systems: Three Easy Pieces,Remzi H. Arpaci-Dusseau,https://covers.zlibcdn2.com/covers100/books/83/fd/a9/83fda9bc51ba0735974a35c4a046e9d9.jpg,https://1lib.in/dl/2523323/2d69bf,643.0,Arpaci-Dusseau,2015.0,english,"PDF, 3.96 MB",696.96,400.94,Good
Ubuntu Linux Toolbox: 1000+ Commands for Ubuntu and Debian Power Users,Christopher Negus,https://covers.zlibcdn2.com/covers100/books/df/a7/47/dfa747ba6ce0fc974e7088603082baf4.jpg,https://1lib.in/dl/2225713/f3e270,368.0,Wiley,2013.0,english,"PDF, 4.48 MB",645.93,453.96,Like New
Linux in Action,David Clinton,https://covers.zlibcdn2.com/covers100/books/65/28/e4/6528e473a12f12b1eb7c2811eacf7f15.jpg,https://1lib.in/dl/3623153/a003cd,384.0,Manning Publications,2018.0,english,"PDF, 17.04 MB",844.25,601.1,Like New
Android App Development For Dummies,Michael Burton,https://covers.zlibcdn2.com/covers100/books/15/6b/c1/156bc16579b1f757625bfc00d6c1df12.jpg,https://1lib.in/dl/2553969/7ddb23,432.0,For Dummies,2015.0,english,"PDF, 8.08 MB",715.45,488.65,Very Good
